treat.pair,site,disturbance.type,disturbed/control,metric,value,lowCI,uppCI
11,TNF K83,clearing and regrowth,control,hetero.frac,1.1,NA,NA
11,TNF K83,clearing and regrowth,control,ht.light50,19.83333333,17.25927236,22.40739431
11,TNF K83,clearing and regrowth,control,lahv,91.63485446,75.37316626,107.8965427
11,TNF K83,clearing and regrowth,control,lai,5.958381624,5.400373625,6.516389623
11,TNF K83,clearing and regrowth,control,lai50,14.33333333,12.44389646,16.22277021
11,TNF K83,clearing and regrowth,control,lawh,15.16141811,13.34743143,16.97540479
11,TNF K83,clearing and regrowth,control,max.can.ht,41,NA,NA
11,TNF K83,clearing and regrowth,control,mean.can.ht,23.92544017,20.72841703,27.12246331
11,TNF K83,clearing and regrowth,control,sd.can.ht,4.42314649,3.386821035,5.459471944
11,TNF K81,clearing and regrowth,disturbed,ERR,0.607987425,0.529299636,0.686675213
11,TNF K81,clearing and regrowth,disturbed,gap.frac,0.005555556,-0.005333333,0.016444444
11,TNF K81,clearing and regrowth,disturbed,hetero.frac,1.2,NA,NA
11,TNF K81,clearing and regrowth,disturbed,ht.light50,14.77777778,13.18881622,16.36673934
11,TNF K81,clearing and regrowth,disturbed,lahv,67.35764259,58.81346252,75.90182266
11,TNF K81,clearing and regrowth,disturbed,lai,5.825290866,5.448314664,6.202267069
11,TNF K81,clearing and regrowth,disturbed,lai50,10.44444444,9.378863843,11.51002505
11,TNF K81,clearing and regrowth,disturbed,lawh,11.40991957,10.48673988,12.33309927
11,TNF K81,clearing and regrowth,disturbed,max.can.ht,31,NA,NA
11,TNF K81,clearing and regrowth,disturbed,mean.can.ht,17.90503692,16.11885902,19.69121482
11,TNF K81,clearing and regrowth,disturbed,sd.can.ht,3.95396042,3.091197435,4.816723405
NA,Alter do Chão,savanna,NA,ERR,0.404040292,0.36233971,0.445740874
NA,Alter do Chão,savanna,NA,gap.frac,0.639583333,0.576529631,0.702637035
NA,Alter do Chão,savanna,NA,hetero.frac,7,NA,NA
NA,Alter do Chão,savanna,NA,ht.light50,2.6875,2.063978593,3.311021407
NA,Alter do Chão,savanna,NA,lahv,2.083881452,1.614359529,2.553403375
NA,Alter do Chão,savanna,NA,lai,0.361050094,0.288204087,0.433896101
NA,Alter do Chão,savanna,NA,lai50,4.583333333,4.151193953,5.015472714
NA,Alter do Chão,savanna,NA,lawh,5.306117274,4.98059236,5.631642188
NA,Alter do Chão,savanna,NA,max.can.ht,12,NA,NA
NA,Alter do Chão,savanna,NA,mean.can.ht,2.584998719,2.204281924,2.965715513
NA,Alter do Chão,savanna,NA,sd.can.ht,2.386936618,2.149249746,2.62462349
